date,open,high,low,close,adjusted_close,volume
2025-01-06,268.05,269.6,263.61,264.48,264.48,8357958
2025-01-07,266.25,266.25,263.71,265.16,265.16,3881642
2025-01-08,265.95,266.04,262.8,264.92,264.92,5056466
2025-01-09,264.75,265.5,262.9,263.15,263.15,3929443
2025-01-10,263.25,263.87,261.15,262.22,262.22,4496919
2025-01-13,261.5,261.9,258.01,258.4,258.4,11388279
2025-01-14,260.95,260.95,258.45,259.26,259.26,4342336
2025-01-15,260.25,260.48,258.77,259.58,259.58,3630304
2025-01-16,260.95,261.7,260.01,260.72,260.72,3410394
2025-01-17,260.8,260.8,258.6,259.77,259.77,3351166
2025-01-20,259.77,261.88,259.41,261.29,261.29,4871545
2025-01-21,262.29,262.47,257.34,257.91,257.91,8501767
2025-01-22,259.8,259.8,257.18,258.85,258.85,5660999
2025-01-23,259.0,260.32,257.68,259.51,259.51,3506635
2025-01-24,260.3,260.95,257.7,258.19,258.19,5458441
2025-01-27,257.49,257.68,255.14,255.69,255.69,10984113
2025-01-28,257.0,259.14,255.95,257.33,257.33,6575668
2025-01-29,258.5,259.5,257.2,259.38,259.38,4481256
2025-01-30,259.05,260.98,259.0,260.22,260.22,6330889
2025-01-31,261.0,263.17,259.7,263.0,263.0,5527550
2025-02-01,261.01,264.7,261.0,262.13,262.13,9097872
2025-02-03,261.65,261.65,260.0,261.47,261.47,4023172
2025-02-04,263.0,265.22,261.49,265.05,265.05,7392693
2025-02-05,265.95,265.95,265.0,265.25,265.25,3446888
2025-02-06,265.2,267.99,263.85,264.37,264.37,3291441
2025-02-07,265.5,265.5,262.6,263.75,263.75,4565941
2025-02-10,265.99,265.99,261.2,261.9,261.9,6225361
2025-02-11,262.99,262.99,257.52,258.55,258.55,9321702
2025-02-12,259.75,259.75,255.6,258.27,258.27,7929756
2025-02-13,259.99,260.49,257.73,258.17,258.17,5078676
2025-02-14,259.99,259.99,255.35,256.95,256.95,7111034
2025-02-17,257.95,257.95,255.01,257.11,257.11,7379260
2025-02-18,256.28,257.7,255.4,256.84,256.84,3917336
2025-02-19,257.99,258.44,255.62,256.89,256.89,5189115
2025-02-20,257.99,257.99,255.75,256.85,256.85,4075280
2025-02-21,257.99,257.99,254.8,255.53,255.53,6288816
2025-02-24,255.2,255.2,252.5,252.87,252.87,9201091
2025-02-25,252.98,253.58,252.31,252.75,252.75,3549369
2025-02-27,253.8,253.8,252.06,252.56,252.56,3567646
2025-02-28,252.95,252.95,248.08,248.45,248.45,19632154
2025-03-03,255.9,255.9,246.64,248.05,248.05,8303131
2025-03-04,247.74,247.78,246.08,247.49,247.49,7023813
2025-03-05,248.7,251.0,246.3,250.48,250.48,7030334
2025-03-06,252.9,252.9,249.43,252.75,252.75,7479954
2025-03-07,252.7,253.74,251.7,252.84,252.84,4241305
2025-03-10,252.0,254.95,251.4,251.75,251.75,5408616
2025-03-11,251.99,252.4,249.91,252.08,252.08,4474243
2025-03-12,253.99,253.99,250.35,251.74,251.74,3851048
2025-03-13,252.9,252.9,250.8,251.06,251.06,3161426
2025-03-17,251.06,253.0,250.1,252.18,252.18,3872869
2025-03-18,252.18,252.18,252.18,252.18,252.18,7130030
2025-03-19,256.8,256.94,255.48,256.7,256.7,3869286
2025-03-20,258.99,259.6,256.7,259.32,259.32,8219907
2025-03-21,260.0,261.59,258.58,261.09,261.09,9249804
2025-03-24,261.62,265.31,261.01,264.9,264.9,9310805
2025-03-25,266.5,266.82,256.95,264.73,264.73,12909271
2025-03-26,264.1,265.5,262.52,262.9,262.9,5258667
2025-03-27,263.28,264.27,262.1,263.73,263.73,3874025
2025-03-28,263.53,264.48,262.51,263.21,263.21,8641606
2025-04-01,262.38,263.67,259.38,259.6,259.6,12629562
2025-04-02,260.7,261.85,259.11,261.64,261.64,9509451
2025-04-03,260.9,261.1,259.03,260.46,260.46,6186200
2025-04-04,260.48,260.58,256.48,257.16,257.16,9233464
2025-04-07,264.85,264.85,231.3,249.1,249.1,34654934
2025-04-08,256.55,256.55,249.76,252.72,252.72,9860513
2025-04-09,251.72,252.68,250.62,251.03,251.03,7144236
2025-04-11,255.99,256.9,251.23,255.97,255.97,10802170
