code,exchange_short_name,date,open,high,low,close,adjusted_close,volume
0P00007149,TO,2025-06-17,89.2941,89.2941,89.2941,89.2941,89.2941,0
0P0000714D,TO,2025-06-17,37.8672,37.8672,37.8672,37.8672,37.8672,0
0P0000716B,TO,2025-06-17,99.0466,99.0466,99.0466,99.0466,99.0466,0
0P00007173,TO,2025-06-17,105.2318,105.2318,105.2318,105.2318,105.2318,0
0P00007174,TO,2025-06-17,11.6466,11.6466,11.6466,11.6466,11.6466,0
0P000071LQ,TO,2025-06-17,26.0153,26.0153,26.0153,26.0153,26.0153,0
0P000071W8,TO,2025-06-17,144.52,144.52,144.52,144.52,144.52,0
0P0000727K,TO,2025-06-17,61.7481,61.7481,61.7481,61.7481,61.7481,0
0P000072UA,TO,2025-06-17,69.828,69.828,69.828,69.828,69.828,0
0P0000732C,TO,2025-06-17,27.8301,27.8301,27.8301,27.8301,27.8301,0
0P000075GQ,TO,2025-06-17,9.1205,9.1205,9.1205,9.1205,9.1205,0
0P000075NL,TO,2025-06-17,26.502,26.502,26.502,26.502,26.502,0
0P00009XRG,TO,2025-06-17,16.2202,16.2202,16.2202,16.2202,16.2202,0
0P0000IUYO,TO,2025-06-17,37.5116,37.5116,37.5116,37.5116,37.5116,0
0P0000KWKF,TO,2025-06-17,9.1476,9.1476,9.1476,9.1476,9.1476,0
0P0000NA77,TO,2025-06-17,40.013,40.013,40.013,40.013,40.013,0
0P00015CCM,TO,2025-06-17,25.17,25.17,25.17,25.17,25.17,0
0P00016N5D,TO,2025-06-17,14.29,14.29,14.29,14.29,14.29,0
0P00016N6E,TO,2025-06-17,19.57,19.57,19.57,19.57,19.57,0
0P0001FAU5,TO,2025-06-17,17.75,17.75,17.75,17.75,17.75,0
0P0001FAU8,TO,2025-06-17,13.02,13.02,13.02,13.02,13.02,0
0P0001J62O,TO,2025-06-17,14.6447,14.6447,14.6447,14.6447,14.6447,0
0P0001OF6V,TO,2025-06-17,8.8686,8.8686,8.8686,8.8686,8.8686,0
AAB,TO,2025-06-17,0.035,0.035,0.035,0.035,0.035,24000
AAPL,TO,2025-06-17,28.61,28.74,28.29,28.36,28.36,156231
AAPU,TO,2025-06-17,19.06,19.06,18.88,18.88,18.88,400
AAUC,TO,2025-06-17,20.09,20.13,18.88,19.07,19.07,548326
AAV,TO,2025-06-17,12.23,12.58,11.9,12.41,12.41,654696
ABRA,TO,2025-06-17,4.69,4.97,4.66,4.91,4.91,278652
ABX,TO,2025-06-17,29.17,29.29,28.65,29.14,29.14,3825359
AC,TO,2025-06-17,18.77,18.85,18.58,18.64,18.64,4319120
ACB,TO,2025-06-17,8.35,8.42,8.0,8.02,8.02,785074
ACD,TO,2025-06-17,3.54,3.54,3.44,3.45,3.45,4100
ACO-X,TO,2025-06-17,51.76,51.76,51.16,51.47,51.47,158871
ACO-Y,TO,2025-06-17,52.75,54.5,52.75,52.75,52.75,912
ACQ,TO,2025-06-17,21.58,22.0,21.5,21.5,21.5,20292
ACX,TO,2025-06-17,5.11,5.29,5.09,5.2,5.2,77942
AD-UN,TO,2025-06-17,18.75,18.8,18.64,18.71,18.71,36614
ADCO,TO,2025-06-17,0.27,0.27,0.27,0.27,0.27,3500
ADEN,TO,2025-06-17,26.58,26.64,26.34,26.34,26.34,21820
ADN,TO,2025-06-17,17.8,17.88,17.76,17.83,17.83,6683
ADW-A,TO,2025-06-17,4.91,5.0,4.91,4.98,4.98,32756
ADW-B,TO,2025-06-17,6.01,6.01,6.01,6.01,6.01,102
AEG,TO,2025-06-17,0.35,0.36,0.345,0.36,0.36,2015
AEM,TO,2025-06-17,169.37,169.82,167.01,169.09,169.09,526593
AFN,TO,2025-06-17,40.78,41.35,40.78,41.04,41.04,44123
AG,TO,2025-06-17,11.58,11.7,11.29,11.66,11.66,1752950
AGF-B,TO,2025-06-17,12.03,12.17,12.01,12.07,12.07,55088
AGF5036,TO,2025-06-17,71.3524,71.3524,71.3524,71.3524,71.3524,0
AGG,TO,2025-06-17,19.31,19.31,19.31,19.31,19.31,306
AGI,TO,2025-06-17,36.61,36.73,36.08,36.61,36.61,1052877
AI,TO,2025-06-17,11.28,11.32,11.27,11.32,11.32,70264
AIDX,TO,2025-06-17,1.36,1.36,1.31,1.32,1.32,162485
AIF,TO,2025-06-17,52.27,52.77,52.0,52.39,52.39,87795
AIGO,TO,2025-06-17,24.81,24.81,24.81,24.81,24.81,249
AII,TO,2025-06-17,3.14,3.14,3.105,3.11,3.11,289178
AIM,TO,2025-06-17,2.94,2.97,2.87,2.88,2.88,174804
AIM-PA,TO,2025-06-17,17.5,17.5,17.5,17.5,17.5,7325
AIM-PC,TO,2025-06-17,18.6,18.6,18.6,18.6,18.6,0
AKT-A,TO,2025-06-17,2.43,2.45,2.31,2.39,2.39,7819
ALA,TO,2025-06-17,38.39,38.7,38.31,38.68,38.68,425200
ALA-PA,TO,2025-06-17,22.76,22.76,22.76,22.76,22.76,920
ALA-PB,TO,2025-06-17,22.98,23.05,22.98,23.05,23.05,400
ALA-PG,TO,2025-06-17,24.5,24.63,24.5,24.6,24.6,1665
ALC,TO,2025-06-17,16.19,16.23,16.12,16.21,16.21,2265
ALPU,TO,2025-06-17,23.05,23.05,23.02,23.02,23.02,300
ALS,TO,2025-06-17,27.36,27.41,27.04,27.17,27.17,43435
ALYA,TO,2025-06-17,2.35,2.41,2.25,2.3,2.3,72530
AMAX,TO,2025-06-17,25.45,25.46,25.15,25.38,25.38,28652
AMC,TO,2025-06-17,1.27,1.27,1.24,1.27,1.27,163555
AMD,TO,2025-06-17,23.86,24.39,23.63,23.73,23.73,460136
AMDY,TO,2025-06-17,13.66,13.99,13.66,13.75,13.75,7001
AMHE,TO,2025-06-17,13.05,13.07,13.02,13.02,13.02,1647
AMM,TO,2025-06-17,0.2375,0.245,0.2375,0.245,0.245,44950
AMZH,TO,2025-06-17,12.84,12.85,12.81,12.81,12.81,2185
AMZH-U,TO,2025-06-17,12.84,12.84,12.84,12.84,12.84,0
AMZN,TO,2025-06-17,25.3,25.57,25.25,25.3,25.3,138120
AMZU,TO,2025-06-17,22.44,22.44,22.44,22.44,22.44,0
AND,TO,2025-06-17,52.62,52.73,51.94,52.42,52.42,119698
ANRG,TO,2025-06-17,1.42,1.45,1.42,1.45,1.45,48134
AOI,TO,2025-06-17,1.8,1.81,1.78,1.81,1.81,1207503
AOT,TO,2025-06-17,0.09,0.09,0.08,0.085,0.085,1664479
AOV,TO,2025-06-17,6.06,6.16,6.02,6.07,6.07,951769
AP-UN,TO,2025-06-17,17.04,17.04,16.8,16.84,16.84,422755
