date,open,high,low,close,adjusted_close,volume
2015-05-21,35.03,35.3,30.0,31.25,3.125,2703000
2015-05-22,32.03,38.03,32.0,34.94,3.494,3228000
2015-05-25,35.0,37.47,35.0,37.26,3.726,1178000
2015-05-26,36.0,37.69,36.0,36.92,3.692,968000
2015-05-27,38.0,38.16,33.63,34.5,3.45,1357000
2015-05-28,34.6,34.6,33.14,34.0,3.4,384000
2015-05-29,33.71,34.25,33.35,33.52,3.352,228000
2015-06-01,33.62,34.38,33.43,34.24,3.424,114000
2015-06-02,34.72,34.72,33.13,33.13,3.313,73000
2015-06-03,33.98,34.26,33.0,34.19,3.419,298000
2015-06-04,34.99,34.99,31.88,33.45,3.345,322000
2015-06-05,33.97,33.98,33.1,33.98,3.398,43000
2015-06-08,33.98,34.11,33.5,33.64,3.364,48000
2015-06-09,33.29,34.99,33.01,34.99,3.499,122000
2015-06-10,34.83,34.99,34.37,34.5,3.45,116000
2015-06-11,35.5,37.65,35.5,37.65,3.765,239000
2015-06-12,38.92,41.5,38.67,41.45,4.145,618000
2015-06-15,42.0,46.99,41.36,43.5,4.35,873000
2015-06-16,44.89,47.2,44.69,46.95,4.695,623000
2015-06-17,48.8,51.92,47.01,47.19,4.719,1067000
2015-06-18,47.2,47.2,42.0,43.5,4.35,832000
2015-06-19,44.44,44.725,40.0,43.2,4.32,565000
2015-06-22,44.69,47.49,44.68,45.5,4.55,431000
2015-06-23,47.13,47.2,43.41,43.41,4.341,275000
2015-06-24,44.49,46.22,42.5,44.6,4.46,228000
2015-06-25,44.99,45.15,42.9,43.3,4.33,144000
2015-06-26,43.45,43.45,40.6,41.2,4.12,250000
2015-06-29,40.34,41.45,38.66,38.77,3.877,254000
2015-06-30,38.99,42.74,38.99,42.38,4.238,228000
2015-07-02,39.68,40.06,38.6,39.25,3.925,280000
2015-07-03,39.0,40.07,39.0,39.8,3.98,68000
2015-07-06,38.45,39.95,38.45,38.46,3.846,93000
2015-07-07,38.46,39.01,36.41,39.01,3.901,233000
2015-07-08,39.0,39.0,37.05,37.05,3.705,242000
2015-07-09,37.65,38.5,36.7,37.25,3.725,85000
2015-07-10,38.42,38.5,37.15,37.48,3.748,131000
2015-07-13,38.0,39.55,38.0,38.75,3.875,142000
2015-07-14,39.62,39.79,39.05,39.45,3.945,172000
2015-07-15,39.99,39.99,37.5,37.9,3.79,164000
2015-07-16,38.01,38.47,37.5,38.0,3.8,51000
2015-07-17,38.5,41.9,38.0,41.9,4.19,397000
2015-07-20,41.89,44.0,41.5,43.64,4.364,312000
2015-07-21,44.16,44.89,41.73,43.0,4.3,245000
2015-07-22,41.89,43.49,41.0,42.06,4.206,140000
2015-07-23,43.29,44.75,42.75,42.83,4.283,124000
2015-07-24,43.84,45.37,43.56,43.56,4.356,202000
2015-07-27,42.99,43.91,41.82,42.86,4.286,101000
2015-07-28,42.86,44.58,42.54,44.25,4.425,112000
2015-07-29,43.95,44.8,43.2,44.52,4.452,139000
2015-07-30,50.0,52.0,47.97,49.5,4.95,848000
2015-07-31,48.02,49.72,47.74,48.88,4.888,252000
2015-08-04,50.68,53.5,50.4,50.4,5.04,447000
2015-08-05,50.56,52.5,50.16,50.38,5.038,223000
2015-08-06,49.98,50.75,46.26,47.32,4.732,429000
2015-08-07,47.53,47.53,45.01,46.51,4.651,171000
2015-08-10,47.2,47.25,42.87,43.06,4.306,198000
2015-08-11,42.92,46.71,42.92,46.05,4.605,196000
2015-08-12,45.6,45.6,43.83,45.26,4.526,116000
2015-08-13,45.74,47.69,45.0,46.45,4.645,164000
2015-08-14,47.18,47.18,44.8,45.475,4.5475,130000
2015-08-17,45.51,45.55,43.86,45.36,4.536,71000
2015-08-18,44.32,44.55,42.52,42.52,4.252,143000
2015-08-19,42.25,42.25,40.27,40.91,4.091,283000
2015-08-20,40.91,40.91,38.26,38.58,3.858,278000
2015-08-21,37.75,39.3,36.0,36.68,3.668,292000
2015-08-24,31.05,37.42,30.5,35.0,3.5,1009000
2015-08-25,37.55,39.5,35.89,36.03,3.603,437000
2015-08-26,37.91,37.99,35.1,37.65,3.765,294000
2015-08-27,37.8,39.15,37.28,37.57,3.757,221000
2015-08-28,37.35,38.25,36.71,36.99,3.699,159000
2015-08-31,37.0,37.89,36.0,36.71,3.671,147000
2015-09-01,36.24,36.24,34.9,34.98,3.498,307000
2015-09-02,35.5,36.06,34.75,35.3,3.53,98000
2015-09-03,35.3,36.82,35.3,36.09,3.609,86000
2015-09-04,36.4,36.4,35.0,35.5,3.55,59000
2015-09-08,36.3,36.49,35.46,35.51,3.551,65000
2015-09-09,36.0,37.69,34.37,34.38,3.438,262000
2015-09-10,34.43,35.0,34.0,34.0,3.4,75000
2015-09-11,34.88,35.0,34.05,34.9,3.49,64000
2015-09-14,34.6,36.0,34.5,36.0,3.6,84000
2015-09-15,36.49,37.5,36.0,37.22,3.722,107000
2015-09-16,37.84,38.7,37.46,38.09,3.809,51000
2015-09-17,39.49,49.85,39.28,47.25,4.725,1652000
2015-09-18,47.5,48.75,45.04,46.94,4.694,998000
2015-09-21,46.1,48.82,45.8,46.05,4.605,615000
2015-09-22,45.48,45.78,43.63,44.48,4.448,528000
2015-09-23,45.14,46.0,43.83,44.73,4.473,329000
2015-09-24,44.62,45.5,42.88,44.46,4.446,601000
2015-09-25,45.08,47.45,44.23,45.21,4.521,627000
2015-09-28,45.09,45.21,43.48,44.25,4.425,641000
2015-09-29,43.04,45.41,43.04,45.25,4.525,313000
2015-09-30,46.03,47.65,45.33,46.66,4.666,182000
2015-10-01,47.46,47.46,44.8,46.38,4.638,319000
2015-10-02,46.88,47.5,45.27,47.28,4.728,306000
2015-10-05,47.47,51.29,47.43,48.0,4.8,919000
2015-10-06,49.0,49.0,45.6,47.11,4.711,753000
2015-10-07,46.97,48.71,46.84,48.5,4.85,467000
2015-10-08,49.58,50.85,47.89,49.72,4.972,663000
2015-10-09,49.94,49.95,47.73,47.95,4.795,228000
2015-10-13,46.08,46.5,43.03,43.22,4.322,911000
2015-10-14,44.22,44.83,41.91,43.44,4.344,612000
2015-10-15,43.5,44.32,43.0,43.85,4.385,193000
2015-10-16,44.25,44.5,43.27,44.46,4.446,251000
2015-10-19,45.36,45.36,43.24,43.39,4.339,337000
2015-10-20,43.6,43.6,40.51,40.9,4.09,594000
2015-10-21,41.05,42.62,40.86,42.0,4.2,465000
2015-10-22,42.17,42.53,41.63,41.91,4.191,229000
2015-10-23,42.96,42.96,41.0,41.73,4.173,364000
2015-10-26,41.7,41.7,40.5,41.02,4.102,295000
