symbol,date,open,high,low,close,adjusted_close,volume
AAB,2025-06-26,0.035,0.04,0.035,0.04,0.04,23700
AAPL,2025-06-26,29.19,29.33,28.89,29.17,29.17,230686
AAUC,2025-06-26,18.5,18.6,18.26,18.59,18.59,114134
AAV,2025-06-26,11.53,11.64,11.45,11.6,11.6,381999
ABRA,2025-06-26,4.62,4.95,4.6,4.92,4.92,224226
ABX,2025-06-26,28.71,28.94,28.62,28.89,28.89,2816754
AC,2025-06-26,19.87,20.5,19.81,20.49,20.49,3707671
ACB,2025-06-26,5.37,5.88,5.35,5.79,5.79,970671
ACD,2025-06-26,3.43,3.49,3.43,3.49,3.49,306
ACO-X,2025-06-26,50.97,51.08,50.47,50.52,50.52,141972
ACO-Y,2025-06-26,53.0,53.0,53.0,53.0,53.0,0
ACQ,2025-06-26,22.05,22.34,21.72,21.86,21.86,17812
ACX,2025-06-26,4.63,4.75,4.62,4.65,4.65,9414
AD-UN,2025-06-26,19.28,19.39,19.22,19.39,19.39,57354
ADCO,2025-06-26,0.26,0.26,0.26,0.26,0.26,1000
ADEN,2025-06-26,27.63,27.77,27.4,27.72,27.72,25023
ADN,2025-06-26,17.88,18.08,17.8,17.9,17.9,7423
ADW-A,2025-06-26,5.4,5.4,5.25,5.28,5.28,19629
ADW-B,2025-06-26,6.4,6.4,6.4,6.4,6.4,0
AEG,2025-06-26,0.38,0.38,0.38,0.38,0.38,0
AEM,2025-06-26,164.99,168.07,164.1,167.9,167.9,2448422
AFN,2025-06-26,41.99,42.08,41.39,41.89,41.89,55059
AG,2025-06-26,11.31,11.44,11.0,11.42,11.42,958502
AGF-B,2025-06-26,12.8,13.45,12.8,13.4,13.4,102124
AGI,2025-06-26,35.87,36.06,35.34,35.68,35.68,1227720
AI,2025-06-26,11.54,11.56,11.52,11.55,11.55,90774
AIDX,2025-06-26,1.32,1.34,1.28,1.29,1.29,310063
AIF,2025-06-26,53.47,53.59,52.78,53.15,53.15,175425
AII,2025-06-26,3.84,4.13,3.81,3.87,3.87,1000611
AIM,2025-06-26,2.8,2.81,2.66,2.68,2.68,95485
AKT-A,2025-06-26,2.37,2.38,2.27,2.33,2.33,4453
ALA,2025-06-26,38.3,38.5,38.03,38.38,38.38,585052
ALC,2025-06-26,16.03,16.12,16.03,16.12,16.12,2636
ALS,2025-06-26,26.85,27.22,26.85,27.0,27.0,34061
ALYA,2025-06-26,2.49,2.5,2.42,2.5,2.5,70851
AMC,2025-06-26,1.33,1.46,1.3,1.41,1.41,431311
AMD,2025-06-26,27.25,27.61,26.5,26.78,26.78,516190
AMM,2025-06-26,0.22,0.22,0.22,0.22,0.22,0
AMZN,2025-06-26,25.09,25.61,24.95,25.54,25.54,307233
AND,2025-06-26,52.02,52.25,51.9,52.24,52.24,110326
ANRG,2025-06-26,1.39,1.39,1.31,1.34,1.34,27000
AOI,2025-06-26,1.71,1.74,1.71,1.73,1.73,243490
AOT,2025-06-26,0.06,0.065,0.06,0.065,0.065,2504317
AOV,2025-06-26,5.8,5.83,5.73,5.75,5.75,72968
AP-UN,2025-06-26,16.87,16.9,16.75,16.85,16.85,281249
APLI,2025-06-26,0.01,0.015,0.01,0.015,0.015,249000
APM,2025-06-26,2.85,3.005,2.8,2.93,2.93,212169
APR-UN,2025-06-26,11.3,11.48,11.3,11.48,11.48,44771
APS,2025-06-26,1.11,1.13,1.08,1.13,1.13,17164
AQN,2025-06-26,7.75,7.825,7.735,7.79,7.79,1071285
ARA,2025-06-26,0.95,1.02,0.95,1.02,1.02,138068
ARE,2025-06-26,20.25,20.5,19.88,20.15,20.15,270498
ARG,2025-06-26,2.07,2.22,2.07,2.22,2.22,739711
ARIS,2025-06-26,9.47,9.47,9.25,9.27,9.27,329161
ARX,2025-06-26,29.72,29.76,28.17,28.79,28.79,4770681
ASCU,2025-06-26,2.18,2.28,2.18,2.23,2.23,248489
ASM,2025-06-26,4.8,4.91,4.755,4.91,4.91,258061
ASTL,2025-06-26,9.24,9.56,9.21,9.39,9.39,127291
ATCU,2025-06-26,0.59,0.6,0.57,0.57,0.57,60345
ATD,2025-06-26,69.0,69.7,68.1,68.9,68.9,1982646
ATH,2025-06-26,5.64,5.69,5.6,5.67,5.67,1502187
ATRL,2025-06-26,93.84,94.69,93.15,94.34,94.34,313100
ATS,2025-06-26,42.64,43.67,42.64,43.49,43.49,98694
ATZ,2025-06-26,68.24,69.41,67.87,69.21,69.21,300034
AUMN,2025-06-26,0.245,0.25,0.24,0.24,0.24,9529
AVCN,2025-06-26,0.26,0.26,0.26,0.26,0.26,517
AVL,2025-06-26,0.03,0.03,0.03,0.03,0.03,353690
AVNT,2025-06-26,0.75,0.75,0.74,0.74,0.74,9326
AW,2025-06-26,36.72,37.1,36.51,36.52,36.52,11499
AX-UN,2025-06-26,7.6,7.62,7.53,7.57,7.57,98078
AYA,2025-06-26,12.3,12.56,12.08,12.55,12.55,750557
BABY,2025-06-26,0.02,0.02,0.02,0.02,0.02,0
BAM,2025-06-26,74.7,75.54,74.34,75.54,75.54,1708112
BB,2025-06-26,6.64,6.68,6.28,6.45,6.45,4147878
BBD-A,2025-06-26,115.02,118.56,115.02,118.31,118.31,5549
BBD-B,2025-06-26,115.45,118.77,114.92,118.25,118.25,497235
BBU-UN,2025-06-26,34.02,34.91,34.02,34.91,34.91,6196
BBUC,2025-06-26,41.15,41.59,41.13,41.52,41.52,13237
BCE,2025-06-26,30.11,30.32,29.77,29.83,29.83,3301554
BCT,2025-06-26,3.96,4.23,3.96,4.22,4.22,4219
BDGI,2025-06-26,48.34,48.5,47.69,47.8,47.8,57330
BDI,2025-06-26,9.25,9.86,9.2,9.77,9.77,297264
BDT,2025-06-26,28.24,28.4,27.88,28.3,28.3,144272
BEI-UN,2025-06-26,69.45,70.01,68.6,68.71,68.71,57185
BEP-UN,2025-06-26,34.89,35.01,34.57,34.96,34.96,102707
BEPC,2025-06-26,44.5,44.65,44.15,44.5,44.5,94378
BGI-UN,2025-06-26,6.24,6.25,6.1,6.16,6.16,32000
BHC,2025-06-26,8.88,8.93,8.705,8.74,8.74,279671
BIP-UN,2025-06-26,45.2,46.28,45.2,46.22,46.22,359729
BIPC,2025-06-26,56.22,56.5,55.87,56.28,56.28,129460
BIR,2025-06-26,7.32,7.37,7.25,7.34,7.34,608492
BITF,2025-06-26,1.08,1.09,1.07,1.09,1.09,598880
BK,2025-06-26,12.0,12.0,11.98,12.0,12.0,135793
BKI,2025-06-26,0.1,0.1,0.1,0.1,0.1,116515
BLCO,2025-06-26,16.79,16.79,16.48,16.59,16.59,2396
BLDP,2025-06-26,1.95,2.09,1.93,2.06,2.06,701974
BLN,2025-06-26,7.22,7.245,7.185,7.2,7.2,32400
BLX,2025-06-26,31.59,31.9,31.41,31.7,31.7,219415
BMO,2025-06-26,146.4,148.87,146.4,148.87,148.87,3304236
BN,2025-06-26,82.94,83.46,82.64,83.35,83.35,1634249
BNE,2025-06-26,3.65,3.66,3.56,3.56,3.56,25164
BNG,2025-06-26,0.015,0.015,0.015,0.015,0.015,1000
BNS,2025-06-26,74.5,75.14,74.49,75.14,75.14,6867388
BNT,2025-06-26,82.44,83.51,82.44,83.51,83.51,9287
BOS,2025-06-26,4.7,4.7,4.6,4.6,4.6,1845
BPF-UN,2025-06-26,19.4,19.5,19.32,19.44,19.44,49783
BR,2025-06-26,1.14,1.15,1.09,1.09,1.09,21118
BRAG,2025-06-26,5.75,5.8,5.7,5.77,5.77,10392
BRE,2025-06-26,14.83,14.85,14.75,14.85,14.85,2834
BRK,2025-06-26,36.22,36.28,36.01,36.14,36.14,74804
BRMI,2025-06-26,0.88,0.88,0.88,0.88,0.88,4500
BRY,2025-06-26,0.23,0.27,0.23,0.25,0.25,9000
BSX,2025-06-26,0.33,0.375,0.315,0.35,0.35,419835
BTB-UN,2025-06-26,3.65,3.65,3.61,3.62,3.62,55804
BTE,2025-06-26,2.52,2.53,2.48,2.51,2.51,4715310
BTO,2025-06-26,4.91,4.98,4.865,4.98,4.98,2025483
BU,2025-06-26,4.07,4.07,3.91,3.92,3.92,5205
BYD,2025-06-26,211.26,214.02,210.81,211.26,211.26,18543
BYL,2025-06-26,0.225,0.34,0.225,0.265,0.265,656660
CAE,2025-06-26,36.48,36.78,36.13,36.54,36.54,508097
CAR-UN,2025-06-26,43.21,43.65,43.21,43.63,43.63,279118
CAS,2025-06-26,8.88,8.91,8.8,8.9,8.9,135240
CCA,2025-06-26,68.99,69.13,68.5,69.03,69.03,36818
CCL-A,2025-06-26,78.86,78.86,78.86,78.86,78.86,0
CCL-B,2025-06-26,78.13,79.1,77.71,79.04,79.04,239674
CCM,2025-06-26,0.345,0.365,0.33,0.35,0.35,135562
CCO,2025-06-26,99.24,102.19,98.06,101.5,101.5,1321048
CDR,2025-06-26,1.8,1.91,1.8,1.91,1.91,16600
CEF,2025-06-26,41.35,41.46,41.22,41.44,41.44,17272
CEF-U,2025-06-26,30.12,30.22,30.12,30.22,30.22,300
CEMX,2025-06-26,0.295,0.3,0.295,0.3,0.3,53500
CEU,2025-06-26,6.59,6.67,6.55,6.64,6.64,492845
CF,2025-06-26,10.15,10.35,10.08,10.33,10.33,61332
CFF,2025-06-26,0.32,0.32,0.3,0.3,0.3,44228
CFP,2025-06-26,14.02,14.36,14.0,14.32,14.32,103707
CFW,2025-06-26,3.4,3.4,3.31,3.35,3.35,42356
CFX,2025-06-26,0.69,0.7,0.68,0.69,0.69,31800
CG,2025-06-26,9.75,9.99,9.71,9.97,9.97,807695
CGG,2025-06-26,12.3,12.5,12.3,12.46,12.46,22760
CGI,2025-06-26,38.5,38.635,38.5,38.63,38.63,1000
CGO,2025-06-26,64.9,65.13,64.49,64.67,64.67,6430
CGX,2025-06-26,11.06,11.37,11.03,11.34,11.34,201505
CGY,2025-06-26,48.46,49.49,48.46,48.95,48.95,36416
CHE-UN,2025-06-26,10.98,11.05,10.98,11.0,11.0,209451
CHP-UN,2025-06-26,14.6,14.69,14.52,14.68,14.68,290715
